rank_test_score,cv_mean_acc,cv_std_acc,fit_time_s,std_fit_time,score_time_s,std_score_time,pca_var_target,svm_C
1,0.40127509299926883,0.00310692418688825,83.35253540674846,2.87372114101086,1.9494202931722004,0.3344769431945089,0.95,5.0
2,0.40125009237425324,0.0030757066357114267,78.58475708961487,3.7275524809541642,2.111696640650431,0.31445970831764186,0.95,10.0
2,0.40125009237425324,0.0031084532221571284,86.87271332740784,2.0488275424352387,2.4086063702901206,1.0208372751555483,0.95,1.0
2,0.40125009237425324,0.0031084532221571284,88.55453141530354,1.677051153454811,2.1204067866007485,0.2775450033677364,0.95,0.5
5,0.401200091124222,0.003112714068443924,88.00584443410237,10.812436545682804,1.6795611381530762,0.36676496417070836,0.95,0.1
6,0.4010250961238782,0.003230778510206284,110.28364888827006,7.066668931357543,1.6281673113505046,0.09334194483865786,0.95,0.05
7,0.39102495861481584,0.0017164507202360086,189.34845074017844,3.9754376463029226,3.115890900293986,0.6054594689306784,0.99,0.05
8,0.38977495736328455,0.0017854511402473484,199.94078024228415,2.378586127587232,3.4327809810638428,1.002132977871895,0.99,0.1
9,0.38887494048758153,0.002194819253861515,202.70016900698343,2.8811247542265024,3.7669119040171304,0.3437316968198056,0.99,0.5
10,0.38854994923695646,0.0019275222327851664,184.469575881958,11.961328761089316,2.3705151081085205,0.4678489334664955,0.99,1.0
11,0.38839994923676907,0.0020113114346267664,145.71499935785928,8.848690362296368,0.7436043421427408,0.16934430215376126,0.99,10.0
11,0.38839994923676907,0.0020113114346267664,160.92963059743246,3.744248052060699,1.3176230589548747,0.28382939812390173,0.99,5.0
13,0.3866000654816131,0.003736917181911794,81.11823105812073,3.183366983385786,5.173093716303508,2.380928585734856,0.9,1.0
14,0.3865750648565975,0.00375487373618872,86.61114017168681,0.7300319954293097,3.8629748821258545,2.1379491369778196,0.9,0.5
15,0.3865750648565974,0.0037015614136434965,83.44113326072693,1.157160199551011,1.8546522458394368,0.4223814539727827,0.9,10.0
15,0.3865750648565974,0.0037015614136434965,77.42414999008179,2.9103090641641653,1.3828314940134685,0.22180143168331798,0.9,5.0
17,0.38652506548151927,0.003843771676881572,85.3290323416392,0.7951318138545891,1.40188201268514,0.23348216166909525,0.9,0.1
17,0.38652506548151927,0.003843771676881572,104.45558071136475,15.84661832964513,2.2300145626068115,1.000512829189779,0.9,0.05
19,0.3630751092011138,0.0037249326668418025,111.66645725568135,0.1111735843110593,2.1240310668945312,0.13442160945758946,0.8,0.05
20,0.36295010795098887,0.0036956663208205526,112.45260723431905,0.06961799777505868,1.438449223836263,0.07047230894890476,0.8,0.5
20,0.36295010795098887,0.0036956663208205526,112.75694417953491,0.21786741839948315,1.121781349182129,0.1964039873639797,0.8,0.1
22,0.3629251073259732,0.003698479728873247,96.5435864130656,0.5393922756817533,1.466628074645996,0.22140435278106932,0.8,10.0
22,0.3629251073259732,0.003698479728873247,95.26036397616069,2.425807083747478,1.6052789688110352,0.1886911879507645,0.8,5.0
22,0.3629251073259732,0.003698479728873247,102.08722591400146,7.710704520331931,1.2434744040171306,0.44357087866479955,0.8,1.0
